编号,名称,描述,介绍,特性,属性,总种族值,生命,物攻,魔攻,物防,魔防,速度,阶段,进化等级,进化方式,身高,体重,蛋组,性别比例,进化链,有地区形态,有首领形态,有异色形态
236,圣代甜甜,冰冰凉精灵,喜欢群居的团结者，圣代甜甜诞生时就生有两颗冰淇淋球，相生相伴，两颗冰淇淋球口味性格不同却能一直融洽相处。,加个雪球-使敌方获得冻结时，也会使其获得2层冻结。,冰,612,119,112,119,70,92,100,3,40,,0.7-1.0,16.5-22.75,软体组-魔力组,雄性 50% / 雌性 50%,脆筒甜甜进化链,是,否,否
237,刺轮砣,小鱼精灵,这种形态的刺轮砣皮肤虽然柔软脆弱，但是已经蕴含着强烈的毒系魔法，即使没有足够强壮的身体，也有办法保护自己。,耐活王-敌方受到中毒效果伤害时，自己回复等量生命。,毒-萌,487,100,80,78,80,65,84,1,0,,0.18-0.31,2.7-4.0,海洋组,雄性 50% / 雌性 50%,刺轮砣进化链,是,否,否
238,月亮砣,治愈精灵,皮肤比矿石还要坚硬，经常在有太阳的时候里浮在水面上，晒过太阳之后皮肤表面能够分泌出一种蕴含毒系魔法的物质，但对某些精灵有治愈作用，大约是一种以毒攻毒的手段。,耐活王-敌方受到中毒效果伤害时，自己回复等量生命。,毒-萌,609,125,100,98,100,81,105,2,36,12点至次日0点期间,1.85-2.1,137.5-182.4,海洋组,雄性 50% / 雌性 50%,刺轮砣进化链,是,否,否
239,豆丁鱼,小鱼精灵,总是抿着嘴巴气鼓鼓的样子，实际上不是因为生气了，而是在努力练习游泳，传说它们一族有着龙的血脉，只要努力游泳就可以进化为龙，基于精灵遗传学理论推测是龙系混血的精灵。,洄游-每次进入蓄力状态，获得全技能能耗永久-2。,水-龙,383,53,62,65,60,62,81,1,0,,0.31-0.44,1.2-3.4,海洋组-飞龙组,雄性 50% / 雌性 50%,豆丁鱼进化链,否,否,是
240,快鳍鱼,龙血精灵,额部鼓起突出，中空有气囊，可以自由改变前额的形状，推测可能是借着移动内部空气来产生形状上的变化，潜水能力相当强，甚至可以一边在水下灵活旋转一边发出多变的叫声，呼唤着同伴，吟唱着记忆深处关于化龙的古老歌谣。,洄游-每次进入蓄力状态，获得全技能能耗永久-2。,水-龙,511,71,82,87,80,83,108,2,20,,0.27-0.39,14.5-16.8,海洋组-飞龙组,雄性 50% / 雌性 50%,豆丁鱼进化链,否,否,是
241,龙鱼,龙血精灵,长鳍长尾，身形纤细流畅，拥有强大的游泳能力和跳跃能力，身体的结构比起鱼更接近龙，证明其拥有少量龙系血脉，尾部的红珠中蕴含着些许龙系能量，可以在跃出水面时发出真正的龙吼。,洄游-每次进入蓄力状态，获得全技能能耗永久-2。,水-龙,640,89,103,109,100,104,135,3,32,,0.69-0.99,39.5-44.5,海洋组-飞龙组,雄性 50% / 雌性 50%,豆丁鱼进化链,否,否,是
242,胆小鳗鱼,电鳗精灵,以强力放电而闻名的精灵，种族中的鳗鱼们似乎对自己的知名度一无所知。常常畏首畏尾，即使是十分弱小的对手，也能令它们战战兢兢。曾有胆小鳗鱼假死晕倒在浅滩上，原因是一只爬爬路过。,生物电-携带的电系技能获得迸发：能耗-2。,电-水,517,68,92,92,83,90,92,1,0,,0.74-1.07,17.5-26.85,海洋组,雄性 50% / 雌性 50%,胆小鳗鱼进化链,否,否,否
243,闪电鳗鱼,电鳗精灵,不会被自己或同类电到，那是因为电鳗体内的脂肪组织有很好的绝缘作用。几乎全身的肌肉组织都能放电，其生物电能与闪电产生强烈共鸣，某些个体能够定向引雷。身体所能承受的电能最高可达8600000伏。,生物电-携带的电系技能获得迸发：能耗-2。,电-水,646,85,115,115,104,112,115,2,36,,0.83-1.19,68.9-76.5,海洋组,雄性 50% / 雌性 50%,胆小鳗鱼进化链,否,否,否
244,翡翠水母,水母精灵,柔软的精灵，通过收缩身体喷水在水中前进。会使用触手释放毒素，以此麻痹对手，然后将其拖入水中。,扩散侵蚀-使用水系技能后，敌方获得中毒，获得层数等于中毒印记层数的2倍。,水-毒,466,108,30,68,75,109,76,1,0,,0.49-0.7,31.5-36.8,海洋组-软体组,雄性 50% / 雌性 50%,翡翠水母进化链,否,否,否
245,琉璃水母,水母精灵,身体的触手花纹会随心情变化，游动时非常漂亮。是海边生活的洛克的艺术灵感来源。然而它长长的触手可以释放多种效果的攻击，被它的美丽吸引注意时，可能会陷入危险哦。,扩散侵蚀-使用水系技能后，敌方获得中毒，获得层数等于中毒印记层数的2倍。,水-毒,580,134,37,85,93,136,95,2,26,,0.9-1.28,48.0-53.0,海洋组-软体组,雄性 50% / 雌性 50%,翡翠水母进化链,否,否,否
246,裘洛,毛绒绒精灵,胸口的星星状器官暖烘烘的，天冷的时候裘洛们都会把前爪揣在胸口取暖。曾经有洛克贸然地接触了裘洛的尾巴，皮肤变得红肿疼痛，足足半年之后才好转痊愈。,蚀刻-回合结束时，敌方每2层中毒转化为1层中毒印记。,毒,312,44,56,50,39,48,75,1,0,,0.7-1.0,7.5-12.5,动物组-妖精组,雄性 50% / 雌性 50%,裘洛进化链,否,否,否
247,裘力,毛绒绒精灵,即便在寒冷的冬天也是独来独往，从不聚在一起取暖，太冷的时候会把脚放在尾巴上。尾巴尖处有两个腺体，危险时能迅速喷射毒液，会用尾巴缠住对手，释放毒素的同时使其无法逃走。,蚀刻-回合结束时，敌方每2层中毒转化为1层中毒印记。,毒,416,59,74,67,52,64,100,2,20,,0.81-1.16,14.07-18.02,动物组-妖精组,雄性 50% / 雌性 50%,裘洛进化链,否,否,否
248,裘卡,毛绒绒精灵,独自活动，高傲而优雅的生物。一生中只选择一只伴侣。据研究表明裘卡的体液都有剧毒，紧张时脚垫会分泌汗液，在地面上留下有剧毒的梅花形汗渍。,蚀刻-回合结束时，敌方每2层中毒转化为1层中毒印记。,毒,520,73,93,83,65,81,125,3,32,,1.25-1.79,49.5-58.6,动物组-妖精组,雄性 50% / 雌性 50%,裘洛进化链,否,否,否
249,可爱猿,猿精灵,头顶着活跃的微型火山，就连睡觉时也会冒出小烟圈。可别因为体型而小看了它，可爱猿头上流出的熔岩就连钢铁也能融化。,散热-初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,火,429,100,97,43,86,67,36,1,0,,0.69-0.98,21.0-31.5,巨灵组-拟人组,雄性 50% / 雌性 50%,可爱猿进化链,否,否,否
250,炽热猿,猿精灵,会从头上喷出烟来彰显气势，普遍好斗。打喷嚏的时候，背上也会跟着喷出巨大的浓烟，还会洒出一些岩浆。,散热-初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,火,572,133,130,57,115,89,48,2,28,,0.71-1.02,46.5-63.5,巨灵组-拟人组,雄性 50% / 雌性 50%,可爱猿进化链,否,否,否
251,火焰猿,火山精灵,哪怕是休息的时候，也像沉睡的火山一样危险。岩浆涌动的身体需要经常添加燃料，偶尔会把吃不完的食物丢到头顶的火山口里燃尽。,散热-初始能量为0，入场前己方精灵每放1次火系技能，回复3能量。,火,715,167,162,72,143,111,60,3,40,,1.68-1.9,124.5-136.5,巨灵组-拟人组,雄性 50% / 雌性 50%,可爱猿进化链,否,否,否
252,布鲁斯,章鱼精灵,头部开始晶体化，触感冰凉，能缓慢吸收周围热量，使自身温度维持在较低水平。头顶的白色绒球对温度变化很敏锐，能帮助它判断环境冷热。,冰钻-敌方携带技能总能耗每有1点，自己攻击时威力+10%。,冰,295,44,60,16,68,53,54,1,0,,0.53-0.76,2.4-4.6,软体组-海洋组,雄性 50% / 雌性 50%,布鲁斯进化链,否,否,否
253,雪顶布鲁斯,章鱼精灵,晶体化结构更稳定，修长的腕足变得更灵活，能细致地打理身体、调整伪装姿态，白色绒球对温差的感知也更敏锐。,冰钻-敌方携带技能总能耗每有1点，自己攻击时威力+10%。,冰,394,58,81,22,91,70,72,2,26,,0.58-0.83,12.8-15.6,软体组-海洋组,雄性 50% / 雌性 50%,布鲁斯进化链,否,否,否
254,冰钻布鲁斯,章鱼精灵,会拾取断落的枝桠，并在枝桠表面喷覆与头部成分相似的晶体化物质，使其变得坚硬冰冷，作为武器使用。,冰钻-敌方携带技能总能耗每有1点，自己攻击时威力+10%。,冰,493,73,101,27,114,88,90,3,42,,1.21-1.72,49.5-58.6,软体组-海洋组,雄性 50% / 雌性 50%,布鲁斯进化链,否,否,否
255,治愈兔,兔精灵,平时生活在灌木丛中，看到洛克的话会因为好奇而主动靠近。据说如果感冒了的小洛克摸摸它的小脚，就会很快康复。,仁心-敌方受到灼烧伤害时，自己回复等量生命。,火-萌,358,67,28,73,60,76,54,1,0,,0.57-0.82,12.03-14.42,动物组-妖精组,雄性 50% / 雌性 50%,治愈兔进化链,否,否,是
256,红丝绒,兔精灵,绒毛里储存着温和的火系能量，抱在怀里就像一个小暖炉，身体散发出煎药的香味。它特别喜欢照顾受伤的精灵，会用温暖的鼻息轻轻吹拂伤口，伤口就不痛了。,仁心-敌方受到灼烧伤害时，自己回复等量生命。,火-萌,479,90,38,98,80,101,72,2,16,,0.68-0.97,22.4-28.6,动物组-妖精组,雄性 50% / 雌性 50%,治愈兔进化链,否,否,是
257,红绒十字,治愈精灵,头顶的十字结构能释放出强效的治愈魔法，轻轻一碰就能缓解肌肉酸痛，伤口也会加速愈合。如果看到受伤的精灵但无法施救的话会流泪不止。,仁心-敌方受到灼烧伤害时，自己回复等量生命。,火-萌,598,112,47,122,100,127,90,3,36,,1.04-1.49,32.5-36.8,动物组-妖精组,雄性 50% / 雌性 50%,治愈兔进化链,否,否,是
258,乌达,恶作剧精灵,喜欢藏在头盔里吓唬人，是因为需要吸收尖叫来维持自己的能量。实际上胆子很小，遇到危险会倒地装晕。,恶魔的晚宴-主动击败敌方精灵时，自己永久获得双攻+50%。,恶-火,369,80,95,49,70,42,33,1,0,,0.44-0.58,4.6-6.1,巨灵组,雄性 50% / 雌性 50%,乌达进化链,是,否,否
259,迷你乌,恶作剧精灵,吓唬人的能力越来越强。在族群当中，越是擅长吓唬人，就越容易受到同伴的尊重，如果气势弱于对方，就要趴在地上装晕认输。,恶魔的晚宴-主动击败敌方精灵时，自己永久获得双攻+50%。,恶-火,492,107,126,66,93,56,44,2,30,6点至18点期间,0.97-1.2,27.9-39.1,巨灵组,雄性 50% / 雌性 50%,乌达进化链,是,否,否
260,乌拉塔,恶作剧精灵,在对决中常常使用夸张的姿态让对手退却，体内另一股意志会让它在关键时刻保持一条底线——它并不以伤害为乐，只汲取自己必要的尖叫。尊重对手，十分有礼貌。,恶魔的晚宴-主动击败敌方精灵时，自己永久获得双攻+50%。,恶-火,615,134,158,82,116,70,55,3,50,6点至18点期间,1.85-2.1,48.8-63.29,巨灵组,雄性 50% / 雌性 50%,乌达进化链,是,否,否
261,螺旋帕帕,维修精灵,它们立志成为机械系精灵维修专员，曾有大批战损的机械系精灵奇迹般地恢复健康，排着队回到原来生活的地方，这背后默默付出的正是不起眼的螺旋帕帕。,翼轴-1号位技能获得迅捷和传动1。,机械-翼,377,88,55,8,79,67,80,1,0,,0.35-0.45,2.08-4.35,机械组-天空组,雄性 50% / 雌性 50%,螺旋帕帕进化链,否,否,否
262,帕帕斯卡,维修精灵,在机械系精灵中非常有声望。曾经制造出帕帕斯卡的洛克许下一个愿望，希望能让机械系精灵有尊严地活着。于是帕帕斯卡整个种族一直在想办法让机械系精灵过上更体面更开心的生活。,翼轴-1号位技能获得迅捷和传动1。,机械-翼,471,110,68,10,99,84,100,2,36,,1.05-1.47,48.7-60.1,机械组-天空组,雄性 50% / 雌性 50%,螺旋帕帕进化链,否,否,否
263,机械方方,魔方精灵,似乎是一种非常古老的机械系造物，用处不详。身体结构精巧，拨弄它头顶的天线，会让它变得十分愉快，甚至能断断续续地播放音乐。“方方正正，顶天立地，做人亦该如此。”,盲拧-回合开始时，技能顺序打乱，4号位的技能能耗-4。,机械,362,62,81,32,76,60,51,1,0,,0.42-0.6,8.0-11.0,机械组-拟人组,雄性 50% / 雌性 50%,机械方方进化链,否,否,是
264,多彩方方,魔方精灵,似乎是一种非常古老的机械系造物，用处不详。热爱社交，尤其喜欢和其他种族的幼体玩耍。喜欢歌唱和舞蹈，但普遍不擅长舞蹈，容易摔倒。,盲拧-回合开始时，技能顺序打乱，4号位的技能能耗-4。,机械,482,82,108,43,101,80,68,2,28,需在他人世界,0.68-0.97,23.77-34.6,机械组-拟人组,雄性 50% / 雌性 50%,机械方方进化链,否,否,是
265,立方人,魔方精灵,能够听懂和使用洛克族语言，了解洛克族的礼仪和社会结构，会模仿洛克族的行为，甚至会与其他个体组建家庭。 “勤奋的它，总是不停的前行，心中在默念：每个人努力过都不普通。”,盲拧-回合开始时，技能顺序打乱，4号位的技能能耗-4。,机械,605,103,135,54,127,101,85,3,40,,1.78-2.01,106.5-139.07,机械组-拟人组,雄性 50% / 雌性 50%,机械方方进化链,否,否,是
266,可立鸡,鸡仔精灵,鸡冠有特殊腺体分泌可燃气体，情绪激动时，鸡冠会熊熊燃烧。为了便于警戒，可立鸡会排成一队，由鸡冠火焰最旺盛的个体来带领。,斗技-应对成功后，获得全技能威力永久+30。,火,390,67,72,72,61,52,66,1,0,,0.39-0.56,4.6-7.4,天空组-拟人组,雄性 50% / 雌性 50%,可立鸡进化链,否,否,是
267,晕晕鸡,鸡仔精灵,成长后学会了控制情绪，维持着绅士风度，为了追求优雅和游刃有余，逐渐更能控制火焰释放。偶尔会因为忍耐过度，大脑变得晕乎乎的。,斗技-应对成功后，获得全技能威力永久+30。,火,521,89,96,96,82,70,88,2,16,,0.68-0.91,12.03-18.06,天空组-拟人组,雄性 50% / 雌性 50%,可立鸡进化链,否,否,是
268,绅士鸡,绅士精灵,充满高尚气度的种群，常把一只手放在身后。手中的羽毛可以喷射火焰，制造独特而优雅的攻击。,指挥家-应对成功后，永久获得双攻+30%。,火-武,651,112,120,120,102,87,110,3,36,,1.31-1.87,46.8-58.2,天空组-拟人组,雄性 50% / 雌性 50%,可立鸡进化链,否,否,是
269,武者鸡,利爪精灵,极其发达健壮的双臂是它们的标志性特征，手部演变为锋利的钙化物质。这一分支舍弃了种族遗传下来的火焰魔法，堂堂正正地用双手和踢腿打败敌人。,斗技-应对成功后，获得全技能威力永久+30。,火-武,595,116,137,66,111,70,95,3,36,击败3只恶系精灵,1.46-2.09,46.8-58.2,天空组-拟人组,雄性 50% / 雌性 50%,可立鸡进化链,否,否,是
270,优优,狐獴精灵,白天，它们竖起蓬松的尾巴，在沙地上蹦跳活动。夜里守在洞口放哨，尾尖亮起柔和的暖黄光，并用尾巴轻点地面，把消息无声地传给同伴。,哨兵-回合开始时若敌方技能足够击败自己，自己获得速度+50，行动后脱离。,地-光,485,81,35,89,84,104,92,1,0,,0.38-0.56,3.03-4.1,动物组,雄性 50% / 雌性 50%,优优进化链,否,否,否
271,绒光优优,守望精灵,进化后它们仍然毛绒绒、行动更显优雅敏捷，战斗时旋转腾挪如轻快战舞，发光的尾巴拖出一缕光丝带。它们警惕性极高，只需将尾巴贴地，便能感知远处的动静。,哨兵-回合开始时若敌方技能足够击败自己，自己获得速度+50，行动后脱离。,地-光,605,101,43,111,105,130,115,2,36,,0.69-0.85,13.5-19.6,动物组,雄性 50% / 雌性 50%,优优进化链,否,否,否
272,噼啪鸟,电风筝精灵,“你知道洛克的头发什么时候会竖起来吗？”“是你妈妈突然闯入你房间的时候？”“是进入了噼啪鸟的电场！我还听到它的吼叫声！幸好我跑得快，差点就被电击了！”“……不过这个发型还挺帅的，下次再试试。”,连续负荷-自己技能的迸发效果延长1回合。,电-翼,618,78,116,109,85,85,145,1,0,,2.0-2.15,89.5-127.5,天空组-巨灵组,雄性 50% / 雌性 50%,噼啪鸟进化链,否,否,否
273,深蓝鲸,鲸精灵,深蓝鲸们喜欢贴着水面游泳，会跳出水面，和来往船只嬉戏，遇到危险时，可以把头部冰柱发射出去。种群之间通过歌声和口哨声交流，不论距离多远，互相之间的声音都能传达到。,倾轧-携带的技能受能耗变化效果的影响翻倍。,水,618,137,44,121,125,141,50,1,0,,2.0-2.65,645.0-700.0,海洋组-巨灵组,雄性 50% / 雌性 50%,深蓝鲸进化链,否,否,否
274,格兰种子,种子精灵,格兰种子可以借助微风悬于空中，总是呆呆地望着对方，其实脑袋里盘算着许多鬼点子。体内花粉不停生长，使它躁动不安，总是忍不住捉弄其他精灵。,生长-回合结束时，回复12%生命。,草,321,65,31,74,48,67,36,1,0,,0.4-0.57,3.5-5.4,植物组-妖精组,雄性 50% / 雌性 50%,格兰种子进化链,否,否,是
275,格兰花,花精灵,格兰花头顶可喷射出具有不同功效的花粉，花粉沾身会致痒。它总是带着些许挑衅的眼神看着对方，似乎有意识地引诱对方来打自己，被打能帮它挠痒痒，而击打它时还会传播其花粉。,生长-回合结束时，回复12%生命。,草,429,86,42,99,64,90,48,2,16,,0.48-0.68,6.5-7.8,植物组-妖精组,雄性 50% / 雌性 50%,格兰种子进化链,否,否,是
276,格兰球,圆滚滚精灵,格兰球的花瓣持续生长与更替，老化花瓣会化作鳞片般的护甲。护甲上黏附诸多致痒花粉，它们热衷于边笑边蹭其他精灵。但洛克研究学者经观察其表情和动作发现，它们坏笑时鳞片般的护甲会微微张开，让它们更好地传粉。,生长-回合结束时，回复12%生命。,草,536,108,52,124,80,112,60,3,32,,0.81-1.16,12.5-16.5,植物组-妖精组,雄性 50% / 雌性 50%,格兰种子进化链,否,否,是
277,地鼠,鼠精灵,有着小巧的身体，敏感的尾巴是它最大的弱点。族群数量庞大，生命力极强，几乎不需要喝水。,警惕-回合结束时，若自己能量为0则脱离。,地,357,66,71,31,72,51,66,1,0,,0.46-0.66,1.8-2.85,动物组,雄性 50% / 雌性 50%,地鼠进化链,是,否,是
278,遁鼠,大耳朵精灵,尾巴上有一层坚固的壳，所以挖洞的时候不必担心身后。耳朵的尖端粗糙而耐脏，把摄取的水分和养分都储存在饱满的大耳朵里。,警惕-回合结束时，若自己能量为0则脱离。,地,477,88,95,41,97,68,88,2,16,,0.48-0.69,3.4-4.8,动物组,雄性 50% / 雌性 50%,地鼠进化链,是,否,是
279,遁地鼠,大耳朵精灵,精力旺盛，时常在烈日下的沙漠里飞奔。能够四脚共用，在地下挖掘复杂的洞系，休息的时候常常躲在地下的洞里。,警惕-回合结束时，若自己能量为0则脱离。,地,596,110,119,51,121,85,110,3,36,,0.64-0.92,6.4-7.5,动物组,雄性 50% / 雌性 50%,地鼠进化链,是,否,是
280,墨鱿士,鱿鱼精灵,不同于章鱼精灵，它们因为蕴含幽系能量，皮肤已经褪成苍白的颜色，头足里面藏着墨囊，装着它们收集来的颜料。经常藏在厚厚的画纸中间休息。,涂鸦-使用非本系技能时威力+50%。,幽,482,103,97,42,105,79,56,1,0,,0.35-0.46,3.25-5.02,海洋组-软体组,雄性 50% / 雌性 50%,墨鱿士进化链,否,否,否
281,混乱鱿彩,画笔精灵,体型暴涨，皮肤化作流动的红、蓝、黄三色漩涡，情绪高涨时随时像泼墨般炸开。它用触手当画笔，在空中乱甩墨汁，留下大片狂野的色块。,涂鸦-使用非本系技能时威力+50%。,幽-恶,604,129,122,53,131,99,70,2,32,累计击败3只萌系精灵,1.36-1.54,36.9-48.2,海洋组-软体组,雄性 50% / 雌性 50%,墨鱿士进化链,否,否,否
282,秩序鱿墨,画笔精灵,身体覆上整齐的黑白方格，触手末端变成细长的金属尺，能把漂浮的墨滴精确切割成等分方块。它从不越界，乐于将墨汁按深浅、冷暖、浓度排成矩阵，精准而冷静。,绝对秩序-受到非敌方系别的技能攻击时伤害-50%。,幽-萌,604,78,120,39,124,113,130,2,32,击败3只恶系精灵,1.59-1.72,45.6-60.1,海洋组-软体组,雄性 50% / 雌性 50%,墨鱿士进化链,否,否,否
283,小甲虫,硬壳精灵,头盔顶部和双手上都有黄色的尖角，锋利而坚硬。听说在它们的世界里，坚硬且粗壮的角是身份地位的象征。,坚韧铠甲-每受到1次攻击伤害，己方队伍获得1次随机奉献。,虫,418,98,71,31,97,61,60,1,0,,0.48-0.68,6.5-8.4,昆虫组-天空组,雄性 50% / 雌性 50%,小甲虫进化链,否,否,否
284,铠甲虫,硬壳精灵,全副武装没有破绽，头顶的巨钳令人生畏。甲壳有些沉重，依然可以飞行。但好处是，厚重的甲壳能够挡住敌人的攻击。,坚韧铠甲-每受到1次攻击伤害，己方队伍获得1次随机奉献。,虫,522,122,88,39,121,77,75,2,40,,1.17-1.68,83.0-96.0,昆虫组-天空组,雄性 50% / 雌性 50%,小甲虫进化链,否,否,否
285,圣剑侍从,科技精灵,黄金时代的工匠们曾将占星与炼金并列为同一门学问的两种语言。于是他们以风为芯，以力量和律法为骨，铸成了圣剑。现在只有极少量留存下来。,正位宝剑-仅可以使用1号位技能。,机械,696,139,116,111,139,139,52,1,0,,0.94-1.18,115.7-173.6,机械组-巨灵组,雄性 50% / 雌性 50%,圣剑侍从进化链,否,是,否
286,圣剑-X,科技精灵,制造者把牺牲和奉献作为圣剑的使命，接下来它的一切行为都是为了实现这个目的，无数十号圣剑就这样留在了从前的时代里。现在黄金时代的风早已停息，暗夜过后也迎来了新生。,正位宝剑-仅可以使用1号位技能。,机械,868,174,144,139,173,173,65,2,40,,1.83-2.07,481.0-658.0,机械组-巨灵组,雄性 50% / 雌性 50%,圣剑侍从进化链,否,是,否
287,吸泥鸥,贪吃精灵,骨骼天生比较脆，需要经常吸食淤泥，泥巴里面含有它们骨骼所需的物质。如果摄入不足，它们的关节会发炎，走起路来可能容易摔倒。吻部尚未完全发育，偶尔会被泥巴噎住,无差别过滤-在场时，所有精灵连击数固定为2。,地-翼,455,99,89,33,87,71,76,1,0,,0.55-0.71,9.5-12.5,天空组-两栖组,雄性 50% / 雌性 50%,吸泥鸥进化链,否,是,否
288,泥吼牙,大嘴精灵,一口就能吞下比自己还重的淤泥，皮肤表面也有了吸收淤泥的能力，淤泥硬壳能有效保护它们脆弱的骨骼。有的时候不小心把小体型的精灵邻居吸到嘴巴里，会赶紧吐出来，连连道歉。偶尔也会用嘴巴载着小型精灵度过泥潭。,无差别过滤-在场时，所有精灵连击数固定为2。,地-翼,569,124,112,41,109,88,95,2,36,,1.05-1.45,21.5-32.5,天空组-两栖组,雄性 50% / 雌性 50%,吸泥鸥进化链,否,是,否
289,大头骨龙,化石精灵,首次被人发现时，大头骨龙在地下岩层中沉睡，并且对现在的世界和精灵社会一无所知。骨架不仅坚硬，而且具有再生能力。即使骨头被打断，也可以在短时间内重新长出。骨质翅膀虽然看起来脆弱，但实际上非常坚韧。,不朽-力竭4回合后复活。,龙-幽,442,96,109,40,84,65,48,1,0,,0.85-1.0,18.6-33.5,飞龙组-巨灵组,雄性 50% / 雌性 50%,大头骨龙进化链,否,否,否
290,寂灭骨龙,骨头精灵,当被从土层里挖出来的时候，它们正在一无所知地睡觉。别看它们脆弱得好像一脚会散架，但埋了亿万年的矿物硬度堪比钻石。“它总是对着镜子思考，幻想自己当年活着时候的样子。”,不朽-力竭4回合后复活。,龙-幽,552,120,137,50,104,81,60,2,40,,2.25-2.45,85.7-105.0,飞龙组-巨灵组,雄性 50% / 雌性 50%,大头骨龙进化链,否,否,否
291,厉毒小萝,毛绒绒精灵,体味清香，翼下藏有数个腺体，能够发射致洛克晕厥的毒雾。受惊时将双翼展为扇形，倾泻毒雾后迅速逃离。,侵蚀-敌方每有1层中毒效果，自己获得连击数+1。,毒-恶,396,67,64,17,81,59,108,1,0,,0.55-0.65,8.73-14.92,拟人组-天空组,雄性 50% / 雌性 50%,厉毒小萝进化链,否,否,否
292,厉毒修萝,毛绒绒精灵,翼上的棘刺带有能够分泌剧毒的腺体，狩猎时常在暗处蹲守观察许久，找到时机后从棘刺中射出毒液使猎物昏迷，再飞速捕获。,侵蚀-敌方每有1层中毒效果，自己获得连击数+1。,毒-恶,495,84,80,21,101,74,135,2,40,,1.45-1.55,33.75-41.6,拟人组-天空组,雄性 50% / 雌性 50%,厉毒小萝进化链,否,否,否
293,小帕尔,毛绒绒精灵,探索欲很强的精灵，会通过摇尾巴的方式表达亲近，尾尖会散发出魔法，但并不能很好的控制，时常伤到自己。,付给恶魔的赎价-击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,恶,379,78,76,34,79,52,60,1,0,,0.64-0.92,9.4-13.6,,雄性 50% / 雌性 50%,小帕尔进化链,否,否,否
294,帕尔萨斯,尖尾精灵,头顶的独角锋利又坚硬，但不蕴含魔法，脱落下来的独角最早被洛克用来制作匕首。“他眼中看到的都是黑白的，他的世界没有色彩，单一的世界却让他有了执著的信念和忠诚的心。”,付给恶魔的赎价-击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,恶,507,104,102,46,105,70,80,2,28,累计突破1次,1.33-1.58,46.5-61.5,,雄性 50% / 雌性 50%,小帕尔进化链,否,否,否
295,龙息帕尔,尖尾精灵,在古老的典籍中记载，龙息帕尔和其他恶系精灵的行事风格不同，它们秉持等价交换的原则，会严格遵守自己缔结的契约。在契约完成前绝不会离开，甚至愿意为此等待漫长的时光。,付给恶魔的赎价-击败敌方精灵时，敌方额外损失1点魔力。被敌方精灵击败时，自己额外损失1点魔力。,恶,632,130,127,57,131,87,100,3,40,累计突破2次,1.93-2.4,96.5-115.0,,雄性 50% / 雌性 50%,小帕尔进化链,否,否,否
296,毛头小蛛,毛绒绒精灵,身上的绒毛柔软且密集，表面有微小的鳞片结构来吸附灰尘，喜欢从灰尘中吸食各种魔法粉尘，会追逐星星魔法，并吸食炸开的粉末。遇到洛克时容易惊慌失措，全身颤抖，在刺激下炸毛，身上的灰尘也被抖落，让洛克忍不住打喷嚏。,扫拖一体-回合结束时驱散敌方1层印记，且驱散后己方队伍获得1次随机奉献。,虫-地,452,85,80,27,93,79,88,1,0,,0.3-0.45,0.95-2.0,昆虫组-妖精组,雄性 50% / 雌性 50%,毛头小蛛进化链,否,否,否
297,捕尘长绒,扫把精灵,绒毛长而纤细，每个洛克小时候都曾把家里打扫清洁的捕尘长绒当作魔法扫帚骑着玩，然后被家长揍一顿，而家长顺手拿起的武器也是捕尘长绒，但是它们喜欢被洛克需要。,扫拖一体-回合结束时驱散敌方1层印记，且驱散后己方队伍获得1次随机奉献。,虫-地,565,106,100,34,116,99,110,2,30,身高50%~100%,1.15-1.45,2.35-4.19,昆虫组-妖精组,雄性 50% / 雌性 50%,毛头小蛛进化链,否,否,否
298,食尘短绒,扫把精灵,绒毛短而浓密，出没在灰尘多的地方，能够在任何表面爬行，其脚掌上短且蓬松的绒毛在爬行时会产生静电作用，牢牢地黏在物体表面上，吸附灰尘，清理家具的死角。,特殊清洁场景-回合结束时偷取敌方1层印记。,虫-地,576,109,105,37,113,97,115,2,30,身高0%~50%,0.75-0.9,2.65-5.15,昆虫组-妖精组,雄性 50% / 雌性 50%,毛头小蛛进化链,否,否,否
299,画精灵,画框精灵,画中世界诞生的精灵，活泼好动，对穿梭魔法的运用不是很熟练，偶尔会被画框卡住。曾经尝试少吃可可果来解决这个问题，后来发现并没有效果。,灰色肖像-攻击会使敌方已有的减益层数+3。,普通,371,61,32,78,56,72,72,1,0,,0.28-0.38,0.99-2.21,妖精组-巨灵组,雄性 50% / 雌性 50%,画精灵进化链,否,否,否
300,画像守护,画框精灵,可以熟练地在画中与画外穿梭，十分热心肠，喜欢交朋友，经常为认识的画做保养，轻轻吹走灰尘，灰尘太多可能令他一直打喷嚏。但这并不会成为它们的阻碍。,灰色肖像-攻击会使敌方已有的减益层数+3。,普通,494,81,42,104,75,96,96,2,16,,0.49-0.6,5.85-6.9,妖精组-巨灵组,雄性 50% / 雌性 50%,画精灵进化链,否,否,否
